id;student_id;first_name;middle_name;last_name;gender;email;phone_number;date_of_birth;age
1;Bedfordshire indigo radical;Letha;Cotton Rand PCI;Hansen;Configuration client-server;Bryce.Wolff@yahoo.com;Monitored bypassing Orchestrator;2021-03-01;78479
2;connect Refined;Nathan;Chair sensor;Fahey;partnerships rich Iowa;Tressie_McGlynn@yahoo.com;Shoes;2021-03-02;78088
3;open-source emulation;Filiberto;algorithm Handmade;Thiel;leading edge generate Executive;Annetta.Padberg52@hotmail.com;Intranet Uganda;2021-03-01;77574
4;Electronics invoice;Elissa;transmit;Nicolas;revolutionary Glens synthesizing;Dovie83@hotmail.com;program Legacy;2021-03-02;71276
5;driver Chief Marketing;Leon;Pre-emptive;Kohler;Key system generating;Everardo.Wehner@gmail.com;Bedfordshire Computer Keyboard;2021-03-01;31755
6;deploy Interactions;Jana;synthesize;Funk;copying deposit;Tatum32@hotmail.com;transition Illinois Money Market Account;2021-03-02;91279
7;compress Virgin Islands, British Health;Piper;PCI Platinum;Marks;Granite Functionality navigating;Jamie19@hotmail.com;integrated;2021-03-02;16562
8;Bermudian Dollar (customarily known as Bermuda Dollar) Massachusetts;Brianne;generate killer uniform;Ankunding;Ridges;Devon_Skiles4@gmail.com;Books withdrawal;2021-03-02;42547
9;compressing Direct Outdoors;Dasia;Global 24/7 Road;Daniel;Belarussian Ruble SQL;Rosa.Maggio@gmail.com;Personal Loan Account;2021-03-02;62110
10;payment;Ahmad;National systems;Bahringer;Proactive;Colin62@hotmail.com;Personal Loan Account asynchronous;2021-03-02;99362
